program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,5,0.417,0.000417,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,6,0.433,0.000433,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,7,0.989,0.000989,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,8,0.484,0.000484,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,9,0.366,0.000366,4864
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,1,115.417,0.115417,16256
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,10,122.981,0.122981,16256
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,11,114.433,0.114433,16256
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,12,118.968,0.118968,16256
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,13,113.259,0.113259,16256
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,14,121.132,0.121132,16256
1_positive_rewrite_proposition_6_3_toegepast,1,50nodes_0p02density,noopt,15,120.396,0.120396,16256
